state,county,d_date,total
montana,pondera,2020-05-02 00:00:00 +0000 UTC,2
kansas,smith,2020-05-02 00:00:00 +0000 UTC,2
minnesota,mille lacs,2020-05-02 00:00:00 +0000 UTC,2
texas,roberts,2020-05-02 00:00:00 +0000 UTC,2
illinois,wayne,2020-05-02 00:00:00 +0000 UTC,2
texas,carson,2020-05-02 00:00:00 +0000 UTC,2
illinois,hamilton,2020-05-02 00:00:00 +0000 UTC,2
kentucky,fulton,2020-05-02 00:00:00 +0000 UTC,2
kansas,sheridan,2020-05-02 00:00:00 +0000 UTC,2
minnesota,chippewa,2020-05-02 00:00:00 +0000 UTC,2
illinois,white,2020-05-02 00:00:00 +0000 UTC,2
virginia,norton city,2020-05-02 00:00:00 +0000 UTC,2
virginia,patrick,2020-05-02 00:00:00 +0000 UTC,2
missouri,carroll,2020-05-02 00:00:00 +0000 UTC,2
nebraska,fillmore,2020-05-02 00:00:00 +0000 UTC,2
virginia,highland,2020-05-02 00:00:00 +0000 UTC,2
north dakota,wells,2020-05-02 00:00:00 +0000 UTC,2
kentucky,carlisle,2020-05-02 00:00:00 +0000 UTC,2
nebraska,greeley,2020-05-02 00:00:00 +0000 UTC,2
nebraska,sherman,2020-05-02 00:00:00 +0000 UTC,2
texas,nolan,2020-05-02 00:00:00 +0000 UTC,2
west virginia,gilmer,2020-05-02 00:00:00 +0000 UTC,2
north carolina,camden,2020-05-02 00:00:00 +0000 UTC,2
texas,cottle,2020-05-02 00:00:00 +0000 UTC,2
west virginia,pocahontas,2020-05-02 00:00:00 +0000 UTC,2
virginia,grayson,2020-05-02 00:00:00 +0000 UTC,2
texas,lipscomb,2020-05-02 00:00:00 +0000 UTC,2
texas,runnels,2020-05-02 00:00:00 +0000 UTC,2
kansas,cheyenne,2020-05-02 00:00:00 +0000 UTC,2
iowa,carroll,2020-05-02 00:00:00 +0000 UTC,3
illinois,cumberland,2020-05-02 00:00:00 +0000 UTC,3
new york,hamilton,2020-05-02 00:00:00 +0000 UTC,3
wisconsin,bayfield,2020-05-02 00:00:00 +0000 UTC,3
colorado,crowley,2020-05-02 00:00:00 +0000 UTC,3
kansas,morris,2020-05-02 00:00:00 +0000 UTC,3
north dakota,ramsey,2020-05-02 00:00:00 +0000 UTC,3
missouri,unknown,2020-05-02 00:00:00 +0000 UTC,3
colorado,hinsdale,2020-05-02 00:00:00 +0000 UTC,3
texas,oldham,2020-05-02 00:00:00 +0000 UTC,3
kentucky,breathitt,2020-05-02 00:00:00 +0000 UTC,3
kansas,mitchell,2020-05-02 00:00:00 +0000 UTC,3
california,unknown,2020-04-27 00:00:00 +0000 UTC,3
iowa,hancock,2020-05-02 00:00:00 +0000 UTC,3
south dakota,lyman,2020-05-02 00:00:00 +0000 UTC,3
vermont,unknown,2020-05-02 00:00:00 +0000 UTC,3
kentucky,martin,2020-05-02 00:00:00 +0000 UTC,3
kentucky,menifee,2020-05-02 00:00:00 +0000 UTC,3
arkansas,pike,2020-05-02 00:00:00 +0000 UTC,3
oklahoma,carter,2020-05-02 00:00:00 +0000 UTC,3
texas,eastland,2020-05-02 00:00:00 +0000 UTC,3
idaho,idaho,2020-05-02 00:00:00 +0000 UTC,3
texas,llano,2020-05-02 00:00:00 +0000 UTC,3
kansas,neosho,2020-05-02 00:00:00 +0000 UTC,3
iowa,appanoose,2020-05-02 00:00:00 +0000 UTC,3
missouri,carter,2020-05-02 00:00:00 +0000 UTC,3
texas,karnes,2020-05-02 00:00:00 +0000 UTC,3
virginia,radford city,2020-05-02 00:00:00 +0000 UTC,3
kansas,sumner,2020-05-02 00:00:00 +0000 UTC,3
idaho,unknown,2020-04-10 00:00:00 +0000 UTC,3
oklahoma,choctaw,2020-05-02 00:00:00 +0000 UTC,3
california,colusa,2020-05-02 00:00:00 +0000 UTC,3
colorado,costilla,2020-05-02 00:00:00 +0000 UTC,3
michigan,dickinson,2020-05-02 00:00:00 +0000 UTC,3
wyoming,goshen,2020-05-02 00:00:00 +0000 UTC,3
colorado,lincoln,2020-05-02 00:00:00 +0000 UTC,3
minnesota,lincoln,2020-05-02 00:00:00 +0000 UTC,3
washington,skamania,2020-05-02 00:00:00 +0000 UTC,3
south dakota,todd,2020-05-02 00:00:00 +0000 UTC,3
iowa,wright,2020-05-02 00:00:00 +0000 UTC,3
utah,garfield,2020-05-02 00:00:00 +0000 UTC,3
south dakota,hutchinson,2020-05-02 00:00:00 +0000 UTC,3
tennessee,johnson,2020-05-02 00:00:00 +0000 UTC,3
iowa,keokuk,2020-05-02 00:00:00 +0000 UTC,3
virginia,lancaster,2020-05-02 00:00:00 +0000 UTC,3
ohio,pike,2020-05-02 00:00:00 +0000 UTC,3
tennessee,union,2020-05-02 00:00:00 +0000 UTC,3
ohio,van wert,2020-05-02 00:00:00 +0000 UTC,3
montana,deer lodge,2020-05-02 00:00:00 +0000 UTC,3
minnesota,douglas,2020-05-02 00:00:00 +0000 UTC,3
